path,required,category,notes
.gitignore,0,other-dev,git config
dist/assets/animation.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/htmlEscape.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/index.css,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/index.html.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/index.html2.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/index.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/index.ts.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/index2.css,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/playerProgress.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/welcome.css,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/welcome.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/welcomeConfig.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/welcomePage.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/youtube-content.bundle.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/assets/youtube-content.bundle.js.map,0,dist-bloat,in dist/ but not referenced at runtime — exclude from store zip
dist/assets/youtubeMeta.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/icons/icon-128.png,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/icons/icon-16.png,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/icons/icon-32.png,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/icons/icon-48.png,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/icons/logo-source.png,0,dist-bloat,in dist/ but not referenced at runtime — exclude from store zip
dist/manifest.json,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/service-worker-loader.js,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/src/dashboard/index.html,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/src/popup/index.html,1,dist-runtime,reachable from manifest/HTML/JS closure
dist/src/welcome/index.html,1,dist-runtime,reachable from manifest/HTML/JS closure
docs/PACKAGE-FILE-AUDIT.csv,0,docs,documentation
